EmployeeId,PayComponent,EndDatefromPeriod,Account,Account_Name,Deptid,ProjectID,FundCode,PositionID,Emp_Dept_ID,ProgramCode,Ledger_Budget_Debit_minus_Credit,TransactionAmount,FiscalYearName
17104,Voice Cell Phone (Amt Based),1/2/21,51100,Fringe Benefits,161,,34,30956,161,,35,35,2021
17104,Vision VSP Executive,1/2/21,51100,Fringe Benefits,161,,34,30956,161,,78.74,78.74,2021
17104,OASDI (ER),1/2/21,51100,Fringe Benefits,161,,34,30956,161,,453.86,453.86,2021
17104,Auto Allowance,1/2/21,51210,Auto Allowance,161,,34,30956,161,,250,250,2021
17104,Dental Allotment,1/2/21,51100,Fringe Benefits,161,,34,30956,161,,58.47,58.47,2021
17104,Workers' Comp,1/2/21,57310,Workers Compensation,161,,34,30956,161,,46.48,46.48,2021
17104,Long Term Disability,1/2/21,57410,Disability/Unemployment,161,,34,30956,161,,43.23,43.23,2021
17104,Medicare (ER),1/2/21,51100,Fringe Benefits,161,,34,30956,161,,106.14,106.14,2021
17104,Short Term Disability,1/2/21,57410,Disability/Unemployment,161,,34,30956,161,,0.68,0.68,2021
17104,SUI (ER) Ontario Override Calculation (Do Not Use SUI (ER) shown in ER Paid Taxes Section below),1/2/21,57410,Disability/Unemployment,161,,34,30956,161,,43.06,43.06,2021
17104,Health Allotment,1/2/21,51100,Fringe Benefits,161,,34,30956,161,,870.79,870.79,2021
17104,Group Basic Life Insurance,1/2/21,51100,Fringe Benefits,161,,34,30956,161,,6.36,6.36,2021
17104,Cell Phone Data,1/2/21,51100,Fringe Benefits,161,,34,30956,161,,15,15,2021
17104,Accidental Death & Dismemberment,1/2/21,51100,Fringe Benefits,161,,34,30956,161,,1.47,1.47,2021
17104,Holiday,1/2/21,51010,Salaries - Full Time,161,,34,30956,161,,"2,316.08","2,316.08",2021
17104,CalPERS Classic - Misc (ER Plan Rate),1/2/21,51100,Fringe Benefits,161,,34,30956,161,,731.6,731.6,2021
17104,CalPERS Misc UAL/Loan,1/2/21,51064,Misc CalPERS UAL/Loan Misc,161,,34,30956,161,,641.38,641.38,2021
17104,401(a) Employer Executive VOYA,1/2/21,51100,Fringe Benefits,161,,34,30956,161,,534.48,534.48,2021
17104,Annual Leave,1/2/21,51010,Salaries - Full Time,161,,34,30956,161,,"4,810.32","4,810.32",2021
17104,CalPERS Classic - Misc (ER Plan Rate),1/4/20,51100,Fringe Benefits,202,,22,30956,161,,13.86,13.86,2020
17104,Workers' Comp,1/4/20,57310,Workers Compensation,202,,22,30956,161,,0.94,0.94,2020
17104,Vision VSP Executive,1/4/20,51100,Fringe Benefits,202,,22,30956,161,,1.67,1.67,2020
17104,Group Basic Life Insurance,1/4/20,51100,Fringe Benefits,202,,22,30956,161,,0.17,0.17,2020
17104,401(a) Employer Executive VOYA,1/4/20,51100,Fringe Benefits,202,,22,30956,161,,10.78,10.78,2020
17104,Long Term Disability,1/4/20,57410,Disability/Unemployment,202,,22,30956,161,,0.87,0.87,2020
17104,OASDI (ER),1/4/20,51100,Fringe Benefits,202,,22,30956,161,,9.25,9.25,2020
17104,CalPERS Classic - Misc (ER Plan Rate-UAL),1/4/20,51100,Fringe Benefits,202,,22,30956,161,,17.2,17.2,2020
17104,Hourly FT Regular,1/4/20,51010,Salaries - Full Time,202,,22,30956,161,,169.68,169.68,2020
17104,SUI (ER) Ontario Override Calculation (Do Not Use SUI (ER) shown in ER Paid Taxes Section below),1/4/20,57410,Disability/Unemployment,202,,22,30956,161,,0.87,0.87,2020
17104,Short Term Disability,1/4/20,57410,Disability/Unemployment,202,,22,30956,161,,0.01,0.01,2020
17104,Accidental Death & Dismemberment,1/4/20,51100,Fringe Benefits,202,,22,30956,161,,0.03,0.03,2020
17104,Medicare (ER),1/4/20,51100,Fringe Benefits,202,,22,30956,161,,2.16,2.16,2020
17104,Auto Allowance,1/4/20,51210,Auto Allowance,161,,34,30956,161,,250,250,2020
17104,Dental Allotment,1/4/20,51100,Fringe Benefits,161,,34,30956,161,,58.47,58.47,2020
17104,Group Basic Life Insurance,1/4/20,51100,Fringe Benefits,161,,34,30956,161,,7.78,7.78,2020
17104,Health Allotment,1/4/20,51100,Fringe Benefits,161,,34,30956,161,,863.71,863.71,2020
17104,Cell Phone Data,1/4/20,51100,Fringe Benefits,161,,34,30956,161,,15,15,2020
17104,Accidental Death & Dismemberment,1/4/20,51100,Fringe Benefits,161,,34,30956,161,,1.44,1.44,2020
17104,Voice Cell Phone (Amt Based),1/4/20,51100,Fringe Benefits,161,,34,30956,161,,35,35,2020
17104,Vision VSP Executive,1/4/20,51100,Fringe Benefits,161,,34,30956,161,,77.07,77.07,2020
17104,OASDI (ER),1/4/20,51100,Fringe Benefits,161,,34,30956,161,,427.51,427.51,2020
17104,Workers' Comp,1/4/20,57310,Workers Compensation,161,,34,30956,161,,43.4,43.4,2020
17104,Long Term Disability,1/4/20,57410,Disability/Unemployment,161,,34,30956,161,,40.3,40.3,2020
17104,Short Term Disability,1/4/20,57410,Disability/Unemployment,161,,34,30956,161,,0.67,0.67,2020
17104,Medicare (ER),1/4/20,51100,Fringe Benefits,161,,34,30956,161,,99.98,99.98,2020
17104,SUI (ER) Ontario Override Calculation (Do Not Use SUI (ER) shown in ER Paid Taxes Section below),1/4/20,57410,Disability/Unemployment,161,,34,30956,161,,40.15,40.15,2020
17104,Annual Leave,1/4/20,51010,Salaries - Full Time,161,,34,30956,161,,"2,290.68","2,290.68",2020
17104,CalPERS Classic - Misc (ER Plan Rate),1/4/20,51100,Fringe Benefits,161,,34,30956,161,,640.29,640.29,2020
17104,Hourly FT Regular,1/4/20,51010,Salaries - Full Time,161,,34,30956,161,,"1,272.60","1,272.60",2020
17104,Holiday,1/4/20,51010,Salaries - Full Time,161,,34,30956,161,,"3,054.24","3,054.24",2020
17104,401(a) Employer Executive VOYA,1/4/20,51100,Fringe Benefits,161,,34,30956,161,,498.26,498.26,2020
17104,CalPERS Classic - Misc (ER Plan Rate-UAL),1/4/20,51100,Fringe Benefits,161,,34,30956,161,,794.55,794.55,2020
17104,Group Basic Life Insurance,1/5/19,51100,Fringe Benefits,162,,34,30956,161,,5.39,5.39,2019
17104,Accidental Death & Dismemberment,1/5/19,51100,Fringe Benefits,162,,34,30956,161,,0.97,0.97,2019
17104,Auto Allowance,1/5/19,51210,Auto Allowance,162,,34,30956,161,,108.5,108.5,2019
17104,OASDI (ER),1/5/19,51100,Fringe Benefits,162,,34,30956,161,,347.95,347.95,2019
17104,Medicare (ER),1/5/19,51100,Fringe Benefits,162,,34,30956,161,,81.37,81.37,2019
17104,401(a) Employer VOYA,1/5/19,51100,Fringe Benefits,162,,34,30956,161,,107.71,107.71,2019
17104,Workers' Comp,1/5/19,57310,Workers Compensation,162,,34,30956,161,,35.75,35.75,2019
17104,Vision Allotment,1/5/19,51100,Fringe Benefits,162,,34,30956,161,,8.62,8.62,2019
17104,Long Term Disability,1/5/19,57410,Disability/Unemployment,162,,34,30956,161,,33.8,33.8,2019
17104,Short Term Disability,1/5/19,57410,Disability/Unemployment,162,,34,30956,161,,0.65,0.65,2019
17104,Health Allotment,1/5/19,51100,Fringe Benefits,162,,34,30956,161,,804.23,804.23,2019
17104,Cell Phone Data,1/5/19,51100,Fringe Benefits,162,,34,30956,161,,15,15,2019
17104,Dental Allotment,1/5/19,51100,Fringe Benefits,162,,34,30956,161,,62.2,62.2,2019
17104,Voice Cell Phone (Amt Based),1/5/19,51100,Fringe Benefits,162,,34,30956,161,,20,20,2019
17104,SUI (ER) Ontario Override Calculation (Do Not Use SUI (ER) shown in ER Paid Taxes Section below),1/5/19,57410,Disability/Unemployment,162,,34,30956,161,,33.63,33.63,2019
17104,OPEBRT,1/5/19,51100,Fringe Benefits,162,,34,30956,161,,45.12,45.12,2019
17104,OPEB,1/5/19,51100,Fringe Benefits,162,,34,30956,161,,166.58,166.58,2019
17104,CalPERS Classic - Misc (ER Plan Rate-UAL),1/5/19,51100,Fringe Benefits,162,,34,30956,161,,563.54,563.54,2019
17104,CalPERS Classic - Misc (ER Plan Rate),1/5/19,51100,Fringe Benefits,162,,34,30956,161,,501.26,501.26,2019
17104,Holiday,1/5/19,51010,Salaries - Full Time,162,,34,30956,161,,"2,618.28","2,618.28",2019
17104,Annual Leave,1/5/19,51010,Salaries - Full Time,162,,34,30956,161,,"1,309.14","1,309.14",2019
17104,Hourly FT Regular,1/5/19,51010,Salaries - Full Time,162,,34,30956,161,,"1,600.06","1,600.06",2019
17104,Group Basic Life Insurance,1/5/19,51100,Fringe Benefits,202,,34,30956,161,,0.24,0.24,2019
17104,OPEBRT,1/5/19,51100,Fringe Benefits,202,,34,30956,161,,2.01,2.01,2019
17104,OASDI (ER),1/5/19,51100,Fringe Benefits,202,,34,30956,161,,15.46,15.46,2019
17104,Hourly FT Regular,1/5/19,51010,Salaries - Full Time,202,,34,30956,161,,290.92,290.92,2019
17104,OPEB,1/5/19,51100,Fringe Benefits,202,,34,30956,161,,7.4,7.4,2019
17104,CalPERS Classic - Misc (ER Plan Rate-UAL),1/5/19,51100,Fringe Benefits,202,,34,30956,161,,25.05,25.05,2019
17104,401(a) Employer VOYA,1/5/19,51100,Fringe Benefits,202,,34,30956,161,,4.79,4.79,2019
17104,Workers' Comp,1/5/19,57310,Workers Compensation,202,,34,30956,161,,1.59,1.59,2019
17104,Long Term Disability,1/5/19,57410,Disability/Unemployment,202,,34,30956,161,,1.5,1.5,2019
17104,Short Term Disability,1/5/19,57410,Disability/Unemployment,202,,34,30956,161,,0.03,0.03,2019
17104,CalPERS Classic - Misc (ER Plan Rate),1/5/19,51100,Fringe Benefits,202,,34,30956,161,,22.28,22.28,2019
17104,SUI (ER) Ontario Override Calculation (Do Not Use SUI (ER) shown in ER Paid Taxes Section below),1/5/19,57410,Disability/Unemployment,202,,34,30956,161,,1.49,1.49,2019
17104,Accidental Death & Dismemberment,1/5/19,51100,Fringe Benefits,202,,34,30956,161,,0.04,0.04,2019
17104,Medicare (ER),1/5/19,51100,Fringe Benefits,202,,34,30956,161,,3.62,3.62,2019
17104,Accidental Death & Dismemberment,1/6/18,51100,Fringe Benefits,162,,34,30956,161,,0.98,0.98,2018
17104,SUI (ER) Ontario Override Calculation (Do Not Use SUI (ER) shown in ER Paid Taxes Section below),1/6/18,57410,Disability/Unemployment,162,,34,30956,161,,33.01,33.01,2018
17104,OASDI (ER),1/6/18,51100,Fringe Benefits,162,,34,30956,161,,345.69,345.69,2018
17104,401(a) Employer ICMA,1/6/18,51100,Fringe Benefits,162,,34,30956,161,,108.91,108.91,2018
17104,Workers' Comp,1/6/18,57310,Workers Compensation,162,,34,30956,161,,35.12,35.12,2018
17104,Medicare (ER),1/6/18,51100,Fringe Benefits,162,,34,30956,161,,80.85,80.85,2018
17104,Dental Allotment,1/6/18,51100,Fringe Benefits,162,,34,30956,161,,62.2,62.2,2018
17104,Cell Phone Data,1/6/18,51100,Fringe Benefits,162,,34,30956,161,,15,15,2018
17104,Voice Cell Phone (Amt Based),1/6/18,51100,Fringe Benefits,162,,34,30956,161,,20,20,2018
17104,Auto Allowance,1/6/18,51210,Auto Allowance,162,,34,30956,161,,108.5,108.5,2018
